TransactionID,UserID,Amount,Merchant,Location,Time,TransactionType,DeviceType,IsFraud
13dafd7a-b2d6-41e1-82cc-4d5d84faf6a6,1003,11440.17,Flipkart,Ahmedabad,2025-06-01 00:53:32,QR,Android,1
7a20c7e9-53ef-474b-b6bd-fab83634a9fe,1413,2338.55,Zomato,Delhi,2025-06-01 00:57:00,P2M,Android,0
2593b448-931d-48b7-aa2d-9b062ffd119e,708,3122.39,UnknownQR,Lucknow,2025-06-01 02:26:38,P2P,iOS,0
186c98b2-ec9a-43a4-a5ac-ff34e1bc38ba,225,2654.49,Amazon,Indore,2025-06-01 02:29:41,P2P,iOS,0
897f2b89-d04f-4840-9702-38760c08487d,1205,12488.61,BigBazaar,Lucknow,2025-06-01 02:34:50,P2M,Android,0
290cbb85-f8f3-4cd4-9ba2-7b4513b01e3c,1243,4549.59,Uber,Kolkata,2025-06-01 03:35:38,P2P,Android,0
ec84769e-9555-4cd0-815c-8f18d0140d64,863,1726.03,Swiggy,Hyderabad,2025-06-01 04:12:21,P2P,Android,0
d77a14c2-550b-4bab-8516-9820c550bfb3,1477,4907.24,SmallShop,Hyderabad,2025-06-01 04:58:23,P2P,Android,0
872f72d6-397e-4dcc-b6a5-6b4b6199cd30,942,1679.23,Swiggy,Pune,2025-06-01 05:08:30,PullRequest,Android,0
cc521d3c-dc62-4940-b00c-011f317855de,396,2973.59,UnknownQR,Surat,2025-06-01 06:21:13,P2M,Android,0
406c1c5e-29d2-4b71-afce-a4d964b9f74a,283,5275.78,Flipkart,Bengaluru,2025-06-01 06:29:42,P2M,Android,0
a6453ef2-b795-44a1-a39f-9a285926d5f4,815,2021.45,UnknownQR,Delhi,2025-06-01 07:13:34,P2M,Android,0
d3acbd54-0c75-4a02-add9-934104dc3579,1344,2356.38,Amazon,Hyderabad,2025-06-01 07:22:47,QR,iOS,0
730a15f4-8e9a-4309-a2fb-acb599ae2747,1233,4978.09,UnknownQR,Hyderabad,2025-06-01 07:41:30,P2M,Android,0
d00dbb9b-4a8d-4cf9-941d-a5ea4b932ddf,881,2187.6,Amazon,Jaipur,2025-06-01 07:46:44,P2M,iOS,0
9bf3267a-3e10-4890-b6e4-20d1bfe1b921,558,5520.44,Zomato,Mumbai,2025-06-01 07:57:49,Refund,Android,0
71a38c90-f3f2-40e8-a1f1-c2c7aaed6e6c,172,1735.75,Jio,Kolkata,2025-06-01 08:18:02,QR,Android,0
99d6d9bc-8cf8-4862-b468-e0e1df2799bf,32,2827.9,Zomato,Jaipur,2025-06-01 08:42:26,QR,iOS,0
fa295c2b-12d8-4ec5-860f-8ab86fb2dfd1,902,5560.25,Flipkart,Indore,2025-06-01 08:58:29,Refund,Android,0
1622d948-a211-4a59-81ef-f10d4148701e,123,13134.77,Airtel,Pune,2025-06-01 10:00:51,P2M,Android,0
5bbe7cbb-fae9-4539-903d-657d58700b73,35,10772.09,Swiggy,Lucknow,2025-06-01 10:19:40,P2P,Android,1
cfb65d76-e2e2-4996-8d08-f54ab37be574,1473,3437.73,BigBazaar,Chennai,2025-06-01 11:14:09,P2M,iOS,0
245001a9-4d64-424a-b947-eba72fadb7e3,1180,2076.23,Flipkart,Kolkata,2025-06-01 11:19:11,P2M,iOS,0
129490ae-f1ae-4a10-99f5-ca361cfcee40,204,1328.76,Amazon,Kolkata,2025-06-01 11:56:56,P2P,Android,1
e3cf618f-7a4a-4369-82f1-1381ee3043aa,83,2986.3,Flipkart,Surat,2025-06-01 12:57:18,P2M,Android,0
51a15955-8686-4b22-a360-e999629f0df3,36,8319.33,SmallShop,Mumbai,2025-06-01 13:09:27,P2P,Android,0
3a9d5acb-e354-4c4b-90fb-3adb81779c45,974,2802.08,IRCTC,Surat,2025-06-01 13:51:32,P2P,Android,0
21f1893b-00e5-4b65-b529-c9419db50dc2,1198,7392.9,Zomato,Delhi,2025-06-01 13:55:51,P2P,Android,0
d88fef99-f890-447e-9abd-5b8fa4be5033,1032,8740.5,Zomato,Chennai,2025-06-01 13:57:52,Refund,Android,0
500520a1-7120-4984-bc69-bf20dedd54a2,332,1896.68,Flipkart,Hyderabad,2025-06-01 14:27:35,QR,Android,0
bdd4993e-a12b-4f4b-9842-e3b55cef9907,662,6051.36,BigBazaar,Ahmedabad,2025-06-01 14:39:08,P2P,Android,0
ad2d4146-8018-4cf4-9107-458e82322f03,1334,7801.15,ElectricityBoard,Bengaluru,2025-06-01 14:43:30,PullRequest,Android,0
e6390113-d71e-40d4-8ecf-7b3648c96176,762,1368.07,SmallShop,Hyderabad,2025-06-01 16:07:11,P2P,Android,0
4c4d8383-5cd4-46a7-9dee-8b4938606183,129,962.75,Jio,Pune,2025-06-01 19:18:39,P2P,iOS,0
2c820cf5-906d-4fe8-8a70-b11b27d8930e,831,18467.97,Swiggy,Chennai,2025-06-01 19:52:04,P2P,Android,0
b3aaa863-b0d1-45d7-bbe8-dc9686738a99,1015,2817.42,Amazon,Hyderabad,2025-06-01 20:17:59,P2M,Android,0
c06cd5f4-0eaa-48c3-bb3f-40b01028cefa,604,8102.66,Amazon,Kolkata,2025-06-01 20:31:56,PullRequest,iOS,0
